recipe_original,final_food_name,TotalTimeInMins,Cuisine,TranslatedInstructions,TranslatedIngredients,Cleaned-Ingredients,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),best_match_clean,matched_original_name,composite_score,token_set_score,wratio_score,food_token_score,negative_penalty,token_overlap
Spinach Paneer Kofta Curry Recipe,Spinach paneer kofta curry (Palak paneer kofta curry),100,North Indian Recipes,"Method for KoftasHeat 1 teaspoon of oil in a pan; sauté the spinach on high heat until it gets soft enough and until all the moisture evaporates.
Turn off heat at this point.Allow the spinach to cool completely.
Once the spinach cools, add the gram flour and salt to taste and combine well.
Divide the spinach into 8 equal portions.Mix paneer, cumin powder and salt; divide into 8 balls and keep aside.Take a portion of the spinach, flatten it on your palm and stuff the paneer balls in it.
Shape it into a ball (kofta).
While doing this, you might feel that the spinach mixture is not that pliable that it easily folds onto the paneer and makes a ball.
That's the right feeling.
It's not very easy to handle them.
If you feel the spinach does not cover the paneer properly, just patch the paneer all around with the spinach mixture.
It works!Roll each ball in over the breadcrumbs so they get coated evenly.
You can now cook the kofta's in the Oven or in the Kuzhipaniyaram PanIf you plan to use the Oven to bake the kofta's; then place the kofta balls on a greased baking sheet.
Brush the kofta balls with some oil and bake in a preheated oven (200 C) until the koftas turn golden brown in colour.
Remove the kofta's from the oven once baked and keep them aside.If you plan to use the Kuzhipaniyaram Pan; then place the kofta balls in the pan's cavities; drizzle the kofta's with a little oil and pan fry them until golden brown on both sides.
You will have to flip the kofta balls so they fry on all sides evenly.
The next step is to make the Spinach Kofta CurryHeat oil in a heavy bottomed pan; add the grated ginger and sauté for a few seconds.
Stir in the tomato puree, turmeric powder, cardamom powder, garam masala powder, salt and chilli powder to taste.
Bring the mixture to a boil and simmer for a couple of minutes till the tomatoes get cooked through.
Finally add the cream, honey and the Kasuri methi and stir it into the kofta curry.
Add in the pan fried palak paneer koftas, cover the pan and simmer until the curry and flavours get absorbed into the koftas.
Adjust the consistency of the palak paneer koftas by adding water if required.
Do make sure to check the salt and spice levels and adjust according to your taste.Serve this delicious Spinach Paneer Kofta Curry along with Whole Wheat Naan Recipe or  Jeera rice of your choice for a quick and healthy weeknight dinner or even for parties.
","5 cups Spinach Leaves (Palak) - chopped,Kasuri Methi (Dried Fenugreek Leaves) - for flavour and garnish,1 teaspoon Cumin powder (Jeera),1/4 cup Gram flour (besan),Salt - to taste,1 inch Ginger - grated,1/2 cup Whole Wheat Bread crumbs,1/2 teaspoon Cardamom Powder (Elaichi),Red Chilli powder - to taste,3-4 cloves Garlic - grated,Sunflower Oil - for pan frying,1/2 cup Fresh cream,1 teaspoon Garam masala powder - 1 teaspoon of homemade garam masala,1 tablespoon Honey,1 cup Paneer (Homemade Cottage Cheese) - crumbled","kasuri methi (dried fenugreek leaves) flavour,salt,cumin powder (jeera),ginger,paneer,garam masala,red chilli powder,cloves garlic,gram flour (besan),wheat bread crumbs,cardamom powder (elaichi),spinach leaves (palak),sunflower oil pan",606.03,2.94,1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93,spinach paneer kofta curry,Spinach paneer kofta curry (Palak paneer kofta curry),136,100,100,3,0,1
Urad Dal Vada Recipe (Non Deep Fried),Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),260,South Indian Recipes,"To begin making Urad Dal Vada Recipe (Non Deep Fried), wash and soak Urad Dal in water for about 4 hours or overnight.Next day using very little water grind to fine thick paste.Cover and keep aside for about an hour or two in warm place.Add hing, Chopped green chilies, grated ginger and salt.
Mix well.Heat the paniyaram pan and drizzle little oil.
Take about 2 tablespoons of the mixture and pour into each pocket of appam pan .Cover and let them cook on medium heat for about 5 minutes.
Then flip them over and let them cook on other side too.Till you see both the sides slightly browned.
Take them off and fry them in paniyaram pan in batches.Serve Urad Dal Vada Recipe (Non Deep Fried) along with South Indian Coconut Chutney and alongside Spicy Crunchy Masala Idli Recipe and Bangalore Restaurant Style Sambar Recipe.
","1 Cup White Urad Dal (Split),2 inch Ginger,Salt - to taste,2-1/2 Tablespoons Extra Virgin Olive Oil,1 pinch Asafoetida (hing),3 Green Chillies - finely chopped","salt,ginger,asafoetida (hing),virgin olive oil,white urad dal (split),green chillies",745.5,9.7,4.39,76.32,0.16,2.27,65.87,10.6,0.96,0,13.31,plain urad dal vada,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),133.75,100,95,3,0,1
Chinese Chicken Sweet Corn Soup Recipe,Chicken sweet corn soup,80,Chinese,"To begin making the Chinese Chicken Sweet Corn Soup recipe, heat a sauce pan with 2 cups of water, chicken breast, cloves, ginger and coriander and leave it boil.Boil for about 15 minutes.
Skim out the foam on top and drain the stock into another sauce pan keep it on low flame.Take out the boiled chicken and start shredding them.Add corn kernels, spring onions, corn flour and shredded chicken in the stock and keep stirring.Stir until the soup thickens little, in a small bowl whisk in the egg and when the soup starts to boil, slowly add the whisked egg.You will notice that it will slowly form like satin ribbons.Check for salt and pepper and serve hot.
Serve the Chinese Chicken Sweet Corn Soup Recipe along with Chicken Manchurian, Chicken noodles for your weekend meal.","1 inch Ginger - crushed,4 cloves Garlic - crushed,Salt - to taste,1 teaspoon Whole Black Peppercorns - crushed,1/2 cup Sweet corn - kernels,1 Whole Egg,100 grams Chicken breasts,2 teaspoon Corn flour,2 sprig Spring Onion Greens - chopped,1 sprig Coriander (Dhania) Leaves","salt,ginger,corn flour,eggs,spring onion greens,sweet corn kernels,black peppercorns,cloves garlic,coriander (dhania) leaves,chicken breasts",28.32,1.63,14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45,chicken sweet corn soup,Chicken sweet corn soup,125.72,100,95,3,0,0.8
Mixed Vegetable Pulao Recipe,Mixed vegetable pulao,60,Indian,"To begin making the Mixed Vegetable Pulao Recipe, we will first wash and soak rice in 2 cups of water for half an hour.While the rice is soaking, steam the vegetables with a bit of salt and keep aside.Make a powder of all the spices (cloves, cardamom and cinnamon) using a pestle and mortar.
Keep aside.After half an hour, into a large saucepan heat 2 tablespoons of ghee.
Add the grated garlic and the powdered spices.
Stir-fry for a few seconds.Next add in the rice, salt , green chillies and the bay leaves along with the water it was soaked in.
Turn the heat to high and allow the rice mixture to come to a boil.Once it comes to a boil, turn the heat to low, cover the pan and simmer the rice until the rice absorbs all the water.Once the water is absorbed, check if the pulao is cooked completely, to suit your taste.
If it needs to be softer, you can add in a little more water and cook for a bit more time.Turn off the heat and allow the pulao to rest for at least 10 minutes, this will help the rice to become a little stiff and remain as grains.Finally stir in the steamed vegetables and chopped mint leaves and check the salt and adjust to suit your taste.Transfer the Vegetable Pulao to a serving bowl and serve hot.
Serve Mixed Vegetable Pulao along with Boondi Raita, Tomato Onion Cucumber Raita or any other raita of your choice and a roasted papad for everyday meals.","1 Carrots (Gajjar) - diced small,1 inch Cinnamon Stick (Dalchini),Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,2 Green Chillies - slit,2 cloves Garlic - grated,2 cups Cauliflower (gobi) - florets,1 Mint Leaves (Pudina) - small bunch,10 Green beans (French Beans) - diced small,2 Cloves (Laung),2 tablespoons Ghee,1 Bay leaf (tej patta),1 cup Brown Rice","green chillies,brown rice,salt,green beans (french beans),ghee,cardamom (elaichi) podsseeds,bay leaf (tej patta),cloves garlic,carrot,cinnamon stick (dalchini),mint leaves (pudina),cloves (laung),cauliflower (gobi) florets",113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,mixed vegetable pulao,Mixed vegetable pulao,124,100,100,2,0,1
Lemon Coriander Soup Recipe,Lemon coriander soup,30,Indo Chinese,"To begin making the Lemon Coriander Soup Recipe, keep all the ingredients ready.
In a saucepan, heat oil on medium flame, add ginger and garlic and saute for a couple of minutes, once fried add in the onions.
Cook the onions until they turn transparent.
 This will take about 2-3 minutes.
Next add the finely chopped carrots, coriander leaves and mix.
 In a small mixing bowl, combine the corn flour along with 1/4 cup of water until there are no lumps.At this stage add water, cornflour mixture and bring the soup to a rolling boil.
 While the soup is coming to a boil, add in the salt and pepper.
Finally, once the Lemon Coriander Soup has come to a boil, turn off the flame and add in the lemon juice.
Mix well and serve the Lemon Coriander Soup piping hot.
Serve Lemon Coriander Soup Recipe, along with some Chilli Coriander Fried Rice Recipe and Vegetable Manchurian Balls in Hot and Spicy Garlic Sauce.
Finish the meal with a dessert of Sweet Potato Avocado Brownie Bites Recipe with a scoop of vanilla ice cream.
 ","Salt - to taste,1 tablespoon Lemon juice - freshly squeezed,1/3 cup Spring Onion (Bulb & Greens) - finely chopped,1/2 inch Ginger - finely chopped,1/3 cup Coriander (Dhania) Leaves - finely chopped,1 tablespoon Corn flour,1/3 cup Carrots (Gajjar) - finely chopped,1 teaspoon Sunflower Oil,3 cloves Garlic - finely chopped,3 cups Water,1 teaspoon Black pepper powder","salt,ginger,corn flour,coriander (dhania) leaves,cloves garlic,carrot,spring onion (bulb greens),water,lemon,black pepper powder,sunflower oil",108.06,10.32,2.27,6.26,2.2,6.77,219.17,102.57,3.47,8.6,12.47,lemon coriander soup,Lemon coriander soup,124,100,100,2,0,1
Mushroom Curry Recipe,Pea mushroom curry (Matar mushroom),45,North Indian Recipes,"To begin making Mushroom Curry, first heat oil in a pan or wok and add onions, ginger, garlic and capsicum and saute until the onions soften.Next add the mushrooms and saute until mushrooms are cooked.
Once done add the tomato puree and the dry maslas like turmeric powder, red chilli powder, garam masala and salt.Bring the Mushroom curry to a brisk boil for two to three minutes.Stir in the chopped mint leaves and turn off the heat.
Check the salt and seasoning and adjust to suit your taste accordingly.
Transfer Mushroom Curry into a serving bowl.Serve Mushroom Curry for your lunch/ weeknight dinner or even at your parties with Pudina Tawa Paratha, Tadkewali Masoor Dal and Rose Greek Yogurt Dessert .
","1/2 teaspoon Turmeric powder (Haldi),1 cup Tomato - puree,1 teaspoon Garam masala powder,1 Onion - cut into chunks,Salt - to taste,4 cloves Garlic - finely chopped,1 Green Bell Pepper (Capsicum) - cut into chunks,200 grams Button mushrooms - halved,1 teaspoon Sunflower Oil,1 inch Ginger - finely chopped,Mint Leaves (Pudina) - finely chopped,1/2 teaspoon Red Chilli powder","tomato,salt,ginger,mint leaves (pudina),red chilli powder,cloves garlic,onion,green bell pepper (capsicum),button mushrooms,turmeric powder,garam masala powder,sunflower oil",93.3,7.41,3.87,5.16,1.82,3.86,155.48,22.7,0.97,58.44,84.49,pea mushroom curry,Pea mushroom curry (Matar mushroom),121.75,100,95,2,0,1
Roasted Cauliflower Recipe,Roasted cauliflower steak,40,South Indian Recipes,"To begin making the roasted cauliflower, first pre-heat the oven to 200 degree celsius.In a mixing bowl, toss together the olive oil, garlic and cauliflower florets.
Sprinkle salt as required.Place these florets on a baking tray and roast till they just soften (about 10-12 minutes).
Take the tray out of the oven.Add the coriander powder, cumin and black pepper powder.Mix and place it back in the oven to roast for another 10 to 12 minutes or till the cauliflower is cooked and caramelizes or slightly turns brown.
Take it out onto a serving dish.Garnish with pomegranate seeds, herbs and drizzle some molasses or honey over it.
Serve immediately.Serve Roasted Cauliflower as a starter or as a side dish along with Panchmel Dal and Phulkas for a weekday lunch or dinner","3 tablespoon Extra Virgin Olive Oil,1/4 cup Anardana Powder (Pomegranate Seed Powder),Salt - to taste,1 teaspoon Coriander Powder (Dhania),2 teaspoon Cumin seeds (Jeera) - roasted and crushed,2 cups Cauliflower (gobi),4 Garlic - sliced,2 teaspoon Black pepper powder - or red chilli powder,2 tablespoons Pomegranate molasses - orhoney (optional but recommended),Fresh Herbs - Handful of herbs of choice like basil","herbs herbs choice like basil,salt,black pepper powder red chilli powder,anardana powder (pomegranate seed powder),cauliflower (gobi),virgin olive oil,garlic,cumin seeds (jeera),pomegranate molasses or,coriander powder",78.68,2.02,2.05,6.7,0.44,3.53,120.19,24.47,0.95,47.14,46,roasted cauliflower steak,Roasted cauliflower steak,121.75,100,95,2,0,1
Paneer Kofta Curry Recipe - Paneer Kofta Curry Recipe,Spinach paneer kofta curry (Palak paneer kofta curry),60,North Indian Recipes,"To make Paneer Kofta Curry Recipe, firstly we will make Paneer Kofta.
Add grated cheese, maida, salt, coriander powder, cumin powder and mix well in a bowl.
Now make small balls of this mixture.
Now we'll fry them.
You can either bake these paneer balls in the oven or fry the pan in a paniyaram pan.
Method of preparation in oven: Take a baking sheet and grease it with oil.
Place paneer balls on them and bake in a pre-heated oven at 200 C until golden brown.
Remove and keep aside.
Method of preparation in paniyaram pan: Heat the paniyaram pan.
Add some oil to each cavity.
After the oil is hot, add cheese balls to it and cook it till it becomes golden from both the sides.
Turn with the help of a spoon.
Keep it aside.
Now to make Kofta Curry, heat oil in a pan.
After the oil is hot, add honey and ginger to it and cook until the honey is boiling.
After boiling the honey, add tomato puree, turmeric powder, cardamom powder, garam masala powder, salt, red chili powder and mix.
Cook until tomatoes are soft.
Now add cream or Hung curd, Kasuri methi and mix.
After 1 minute, add Kofta Paneer balls to it, cover the pan and let it cook.
Allow to cook for 3 to 4 minutes and turn off the gas.
Serve Paneer Kofta Curry with Bundi Raita and Lacha Paratha for daily dinner."," 1/2 teaspoon garam masala powder, 1 1 teaspoon coriander powder, oil - as per use, 1 tsp cumin powder, 1/4 teaspoon turmeric powder, fenugreek seeds - little, coriander - a little, 1 tbsp honey, 2 cups tomato puree, salt - as per taste, salt - a pinch,250 g Paneer - grated, 3 tablespoons all purpose flour (All Purpose Flour), 1/4 cup Hung yogurt - or cream, 1 ginger - grated","tomato,salt,turmeric powder,ginger,paneer,cumin powder,fenugreek seeds,coriander,oil,coriander powder,hung yogurt,flour ( flour),garam masala powder",606.03,2.94,1.43,65.41,1.16,0.75,99.37,37.71,0.68,47.34,197.93,spinach paneer kofta curry,Spinach paneer kofta curry (Palak paneer kofta curry),121.75,100,95,2,0,1
Quick And Simple Egg Curry Recipe,Indian lamb and egg curry (Nargisi kofta),55,Indian,"To begin making the Quick & Easy Egg Curry Recipe, Firstly we will boil the eggs.
Add the eggs in a saucepan with some water.
Add sufficient water that the eggs are covered with it.
Let it come to boil for 15 minutes or untill you see a crack on the outer shell.Once done, let it cool down.
Remove the outer shell of the egg and keep it aside.
Heat 2 tablespoons of oil in a wok; add in the onion garlic and ginger paste.
Sauté for a few minutes until the raw smell goes away and the onion changes color.Once the onion is well roasted, add in the turmeric powder, sugar, garam masala powder, coriander power and red chilli powder.
Stir those powders into the onion masala until well combined.
This will take about 3 to 4 minutes.After 3 to 4 minutes, add in the tomato puree, salt and the eggs.
Simmer the Egg Curry covered for 10 to 15 minutes until you see the eggs are coated well with the curry.Check the salt and spice levels and the consistency of the curry.
Adjust them to taste and add water if you want the consistency of the curry to be thinner.
Once done, stir in the chopped coriander leaves and serve.Quick And Simple Egg Curry Recipe makes a delicious dinner or a Sunday brunch when served along with Steamed Rice, Carrot Salad and a Boondi Raita.
","2 Green Chillies,Sunflower Oil - for cooking,1 teaspoon Garam masala powder,Salt - to taste,1 teaspoon Coriander Powder (Dhania),6 Tomatoes - cooked and pureed,1/2 teaspoon Sugar,3 cloves Garlic,1 Onion - roughly chopped,1 teaspoon Turmeric powder (Haldi),Coriander (Dhania) Leaves - few leaves,1 inch Ginger - roughly chopped,1/2 teaspoon Red Chilli powder,4 Whole Eggs - hard boiled","tomato,salt,ginger,red chilli powder,cloves garlic,sugar,coriander (dhania) leaves leaves,onion,coriander powder,eggs,turmeric powder,green chillies,garam masala powder,sunflower oil",335.75,2.07,3.84,34.7,0.75,0.6,57.44,12.91,0.55,7.67,44.36,indian lamb and egg curry,Indian lamb and egg curry (Nargisi kofta),119.5,100,90,2,0,1
Broccoli & Vegetable Coconut Curry Recipe,Vegetable curry with coconut ,60,Mangalorean,"To begin making the Broccoli & Vegetable Coconut Curry Recipe, we will first make the Broccoli Curry Masala.
In a small pan; roast the dry red chillies, fenugreek, coriander, cumin and black pepper until you can smell the roasted aromas.
Add these to a small blender jar, along with the coconut, tamarind and turmeric powder.
Grind the spices adding very little water to make a smooth curry paste.
The curry paste is now ready.
Keep aside.In the next step; heat a teaspoon of oil in a pan; add the chopped onions, broccoli and red bell peppers and saute for a couple of minutes until the onions are soft and tender.
Add the curry paste and saute for a couple of more minutes.
Stir in salt and add about 1-1/2 to 2 cups of water.
You essentially want a thick gravy for the Broccoli Curry; hence add water accordingly.
Give all the ingredients a good stir.
Check the salt levels and adjust to suit your taste.
Give the mixture a quick boil only when you are ready to serve.
Serve the Broccoli & Vegetable Coconut Curry, along with Neer Dosa or Kerala (Lachha) Paratha or even plain steamed rice.","1 Red Bell pepper (Capsicum) - thinly sliced,400 grams Broccoli - cut into florets,4 Dry Red Chilli,1 tablespoon Coriander (Dhania) Seeds,2 cups Fresh coconut - grated,Salt - to taste,1 teaspoon Cumin seeds (Jeera),Sunflower Oil - for cooking,1 Onion - chopped,1 tablespoon Whole Black Peppercorns,3 cloves Garlic,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Turmeric powder (Haldi),Tamarind - lemon size","salt,red bell pepper (capsicum),sunflower oil,coconut,black peppercorns,cloves garlic,dry red chilli,coriander (dhania) seeds,onion,broccoli,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder,tamarind lemon",83.07,7.19,2.77,4.66,1.41,3.35,43.4,19.63,0.95,69.6,87.67,vegetable curry with coconut,Vegetable curry with coconut ,114.85,90.2,85.69,3,0,0.75
